City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Ballina,AU,2022-02-02 05:41:08,-28.8667,153.5667,89.78,70,40,9.22
242,Rio Grande,BR,2022-02-02 05:36:56,-32.035,-52.0986,68.83,74,0,10.87
243,Arman,RU,2022-02-02 05:41:09,59.7,150.1667,5.9,78,98,13.78
244,Hamilton,US,2022-02-02 05:41:09,39.1834,-84.5333,51.21,51,100,10.36
245,Ongandjera,NA,2022-02-02 05:41:10,-17.8833,15.0667,68.79,43,47,5.77
246,Bucerias,MX,2022-02-02 05:41:10,20.75,-105.3333,67.98,82,0,0.0
247,Bar Harbor,US,2022-02-02 05:41:11,44.3876,-68.2039,30.02,73,100,3.0
248,Pavlodar,KZ,2022-02-02 05:41:11,52.3,76.95,6.6,85,40,0.0
249,Vaitape,PF,2022-02-02 05:41:12,-16.5167,-151.75,81.19,75,9,19.75
250,Salinopolis,BR,2022-02-02 05:41:12,-0.6136,-47.3561,78.37,86,92,10.54
251,Sokoni,TZ,2022-02-02 05:41:13,-6.4333,39.55,82.69,75,100,7.76
252,Serebryanyy Bor,RU,2022-02-02 05:41:13,56.8,124.8,-7.56,92,100,10.27
253,Margate,GB,2022-02-02 05:41:14,51.3813,1.3862,50.76,81,99,7.0
254,Labuan,MY,2022-02-02 05:41:14,5.2767,115.2417,89.76,66,20,7.0
255,Road Town,VG,2022-02-02 05:41:15,18.4167,-64.6167,75.99,76,6,12.84
256,Simao,CN,2022-02-02 05:41:15,22.7886,100.9748,68.63,26,0,7.0
257,Altamira,BR,2022-02-02 05:38:49,-3.2033,-52.2064,71.15,99,91,2.42
258,Bulandshahr,IN,2022-02-02 05:41:16,28.4,77.85,64.56,49,0,4.74
259,Kaeo,NZ,2022-02-02 05:41:16,-35.1,173.7833,74.32,85,100,10.51
260,Sistranda,NO,2022-02-02 05:41:17,63.7256,8.834,23.9,71,100,2.48
261,Narsaq,GL,2022-02-02 05:41:17,60.9167,-46.05,8.82,79,10,5.41
262,Portland,US,2022-02-02 05:36:27,45.5234,-122.6762,42.37,91,81,1.01
263,Port Lincoln,AU,2022-02-02 05:41:18,-34.7333,135.8667,65.17,55,52,19.37
264,Namie,JP,2022-02-02 05:41:18,37.4833,141.0,42.96,51,67,14.65
